Taxa00001	STD_prok05	100.000	253	0	0	1	253	1	253	3.07e-136	468
Taxa00003	STD_prok04	100.000	253	0	0	1	253	1	253	3.07e-136	468
Taxa00007	STD_prok03	100.000	253	0	0	1	253	1	253	3.07e-136	468
Taxa00021	STD_prok02	100.000	253	0	0	1	253	1	253	3.07e-136	468
Taxa00034	STD_prok01	100.000	253	0	0	1	253	1	253	3.07e-136	468
Taxa00047	STD_prok04	99.605	253	1	0	1	253	1	253	1.43e-134	462
Taxa00793	STD_prok04	99.605	253	1	0	1	253	1	253	1.43e-134	462
Taxa00845	STD_prok05	99.605	253	1	0	1	253	1	253	1.43e-134	462
Taxa00968	STD_prok05	99.605	253	1	0	1	253	1	253	1.43e-134	462
Taxa01033	STD_prok05	99.605	253	1	0	1	253	1	253	1.43e-134	462
Taxa01076	STD_prok01	99.605	253	1	0	1	253	1	253	1.43e-134	462
Taxa01085	STD_prok05	99.209	253	1	1	1	252	1	253	2.38e-132	455
Taxa01183	STD_prok02	99.605	253	1	0	1	253	1	253	1.43e-134	462
Taxa01291	STD_prok02	99.605	253	1	0	1	253	1	253	1.43e-134	462
Taxa01351	STD_prok02	99.605	253	1	0	1	253	1	253	1.43e-134	462
Taxa01390	STD_prok05	99.209	253	1	1	1	252	1	253	2.38e-132	455
Taxa01422	STD_prok03	99.605	253	1	0	1	253	1	253	1.43e-134	462
Taxa01591	STD_prok04	99.209	253	2	0	1	253	1	253	6.65e-133	457
Taxa01595	STD_prok01	99.209	253	2	0	1	253	1	253	6.65e-133	457
Taxa02436	STD_prok05	93.701	254	14	2	1	253	1	253	1.48e-109	379
Taxa02466	STD_prok03	100.000	200	0	0	1	200	1	200	7.88e-107	370
Taxa02661	STD_prok05	100.000	253	0	0	21	273	1	253	3.33e-136	468
